descSlugCurso;nrEp;descEpisodio;descYoutubeID
carreira;1;Monte seu PDI!!;L0G07W5aODM
carreira;2;PORTFÓLIO É IMPORTANTE PARA A ÁREA DE DADOS?;demMK60-0XU
carreira;3;Como mantenho a CONSISTÊNCIA?;8s1xtyna228
carreira;4;Transformando HABILIDADES em OPORTUNIDADES - Feat. Laura e Marcos;eKrtu1d0AmY
carreira;5;SUA VAGA INTERNACIONAL! GANHE EM DOLAR! feat. Tammy Silva;be9M1N68NW4
coleta-dados-2024;1;Coleta de dados - Resident Evil Database;K-bIZt_hSBo
coleta-dados-2024;2;Coleta de dados - TabNews e Jovem Nerd;JqBLUi9vqgM
coleta-dados-2024;3;Coleta de dados - Datalake Databricks;cnbw1ySYOOs
coleta-dados-2024;4;Coleta de dados - Pokemon e Databricks;QyiItDCqClU
ds-databricks-2024;1;Data Science no Databricks: Planejamento;Y-Icfgi7Doc
ds-databricks-2024;2;Data Science no Databricks: Primeiras Features;gjRJAdGQrmY
ds-databricks-2024;3;Data Science no Databricks: Mais Features;Sezdg2xuzto
ds-databricks-2024;4;Data Science no Databricks: Features Lookups;vV9kQpKK_DI
ds-databricks-2024;5;Data Science no Databricks: SEMMA;rIzJ5MCKsw4
ds-databricks-2024;6;Data Science no Databricks: MLFlow;vSzfbG51el4
ds-databricks-2024;7;Data Science no Databricks: Model Tuning;56DhxlqKf1o
ds-databricks-2024;8;Data Science no Databricks: Predições;AhHfbY14BD4
ds-databricks-2024;9;Data Science no Databricks: Deploy com API em Go;YbZcLUQdDcg
ds-pontos-2024;1;DS e Pontos - Qual o Problema de Negócio?;3HijJaRhPP0
ds-pontos-2024;2;DS e Pontos - Primeira Feature Store;KC-P8DwffA0
ds-pontos-2024;3;DS e Pontos - Últimas Feature Store;qoOzKaCr1Rk
ds-pontos-2024;4;DS e Pontos - Criação da ABT;VzcQvGyeAO0
ds-pontos-2024;5;DS e Pontos - Treinamento e Deploy;1TcFBmjwYlk
ds-pontos-2024;6;DS e Pontos - Integrando com MLFlow;v5b66aO3PHw
ds-pontos-2024;7;DS e Pontos - O que e SEMMA?;kyj8oY3d7oM
ds-pontos-2024;8;DS e Pontos - Segmentação RFV;8hjRYjgrivA
estatistica-2024;1;Estatística Básica - Introdução e tabelas de frequência;onOgEotiuMw
estatistica-2024;2;Tabela de frequencia no SQL;HZH3OWLq7Ew
estatistica-2024;3;Estatística Básica - Medidas de Posição e Dispersão;ZOvIGIBmHyo
estatistica-2024;4;Medidas de Resumo no SQL;9XUJ5PNj9tw
estatistica-2024;5;Estatística Básica - Gráficos e Probabilidade;8rgAG58SJS8
estatistica-2024;6;Estatística Básica - Probabilidade;9Lbvj6JzgII
estatistica-2024;7;Estatística Básica - Intervalo de Confiança;-IMEseOJs2c
estatistica-2025;1;APRENDA ESTATÍSTICA 01: População e Amostra;4CcgZXXIl7o
estatistica-2025;2;APRENDA ESTATÍSTICA 02: Tipos de Variáveis;FPZBAp8QSRM
estatistica-2025;3;APRENDA ESTATÍSTICA 03: Tabela de Frequência;qca5fOJ2TTg
estatistica-2025;4;APRENDA ESTATÍSTICA 04: Tabela de Frequência na PRÁTICA;cVpO7V0fu_s
estatistica-2025;5;APRENDA ESTATÍSTICA 05: Somatórios e Média;D0hlGcAmc94
estatistica-2025;6;APRENDA ESTATÍSTICA 06: Mediana e Quartis;sL5tbdc2rCE
estatistica-2025;7;APRENDA ESTATÍSTICA 07: Medidas de Resumo na Prática (PLANILHAS);hgxLeea6Hr8
estatistica-2025;8;APRENDA ESTATÍSTICA 08: Medidas de Resumo na Prática (PYTHON);9D_c_22lRL8
estatistica-2025;9;APRENDA ESTATÍSTICA 09: Medidas de Resumo na Prática (SQL);eTBXmQmyqMc
estatistica-2025;10;APRENDA ESTATÍSTICA 10: Medidas de Dispersão;0kdgO0E4Rg8
estatistica-2025;11;APRENDA ESTATÍSTICA 11: Medidas de Dispersão (PLANILHAS);BCAbwdkdfhM
estatistica-2025;12;APRENDA ESTATÍSTICA 12: Medidas de Dispersão (PYTHON);aZ7ufhnsblY
estatistica-2025;13;APRENDA ESTATÍSTICA 13: Gráficos;BAhz7OgJyAQ
estatistica-2025;14;APRENDA ESTATÍSTICA 14: Gráficos (PLANILHAS);ZmYG2dPJxfw
estatistica-2025;15;APRENDA ESTATÍSTICA 15: Gráficos (PYTHON);_PzfSLBn22k
estatistica-2025;16;APRENDA ESTATÍSTICA 16: Probabilidade;cZyp6Tq9V-0
estatistica-2025;17;APRENDA ESTATÍSTICA 17: Probabilidade (PLANILHAS);P48vFrhhKf0
estatistica-2025;18;APRENDA ESTATÍSTICA 18: Distribuição Bernoulli;QoMwhXw5aD4
estatistica-2025;19;APRENDA ESTATÍSTICA 19: Distribuição Normal;pbN-W7gV_kM
estatistica-2025;20;APRENDA ESTATÍSTICA 20: Intervalo de Confiança;Xy2esjcmcdI
estatistica-2025;21;APRENDA ESTATÍSTICA 20.1: Intervalo de Confiança (PYTHON);ueFCFsPHRRo
estatistica-2025;22;APRENDA ESTATÍSTICA 21: Teste de Hipótese;qrv5rFhrM4Q
github-2024;1;Introdução ao Git e GitHub;napLViBKAtA
github-2024;2;Introdução ao Git e GitHub - Dia 02;n58LxenCnYs
github-2024;3;Introdução ao Git e GitHub - Gitignore Gitkeep;AljGpIviLyE
github-2025;1;Instalação e Primeiros Conceitos;84FhNXNWoig
github-2025;2;Primeiros Comandos Git;RZ0g18hstwQ
github-2025;3;Lidando com Branches;pzjdEQOmsLA
github-2025;4;Resolvendo Conflitos;IRmjluONHxU
github-2025;5;Realizando Pull Requests;Y_fFZjzw-D4
github-2025;6;Criando FORK;vWtrTmjis2w
github-2025;7;Integração com Visual Studio Code;M-mBmYj7Jh4
github-2025;8;Git Flow;l44uGe-sxgM
github-2025;9;Gitignore e Gitkeep;spoUnf34R4A
ia-canal-2025;1;Construindo um Sistema de IA - Bancos Vetoriais;3aMq_5b6DPY
ia-canal-2025;2;Construindo um Sistema de IA - Embeddings;_hvw1oYxLoY
lago-mago-2024;1;Setup DATABRICKS + UNITY CATALOG;a1qACiucvzM
lago-mago-2024;2;Lendo aqruivos FULL LOAD + CDC;YhgUm9zmhZ8
lago-mago-2024;3;CDC com Streaming;1C8rY5g5Cqo
lago-mago-2024;4;Criando uma classe de ingestão;MpDcDHE93XA
lago-mago-2024;5;GitHub Actions para atualizar Worflows;961sbn71Mqg
lago-mago-2024;6;Full-Load em Silver;NBfEb2TkRe8
lago-mago-2024;7;Change Data Feed;YY7jJhUlu0k
lago-mago-2024;8;Custos e Tipos de Clusters;C6E2U6U4BCw
lago-mago-2024;9;Camada Gold;REGzXzp7PSU
lago-mago-2024;10;Dash Executivo;uPwtZ9WENfY
machine-learning-2025;1;Machine Learning 01: Sobre o curso e dados;oz_rZ92Tmls
machine-learning-2025;2;Machine Learning 02: Construindo Modelo;dPL3eZNjsMs
machine-learning-2025;3;Machine Learning 03: Prática no Python (Frutas);80B4Ze11qWw
machine-learning-2025;4;Machine Learning 04: Prática no Python (Cerveja);wc8o423bwi8
machine-learning-2025;5;Machine Learning 05: Case Star Wars;s8jFHHM679s
machine-learning-2025;6;Machine Learning 06: Ciclo Analítico;KIGKWjmWavU
machine-learning-2025;7;Machine Learning 07: Regressão Linear;IZcDceAjFWk
machine-learning-2025;8;Machine Learning 08: Árvore de Decisão - Regressão;pPWxZpSkt1s
machine-learning-2025;9;Machine Learning 09: Prática no Python (Reg. Linear e Árvore);baTTP48cOho
machine-learning-2025;10;Machine Learning 10: Regressão Logística;Pk7cHs9H1OY
machine-learning-2025;11;Machine Learning 11: Árvore de Decisão (Classificação);4HwFrWAULkk
machine-learning-2025;12;Machine Learning 12: Naive Bayes;ahJks3rmK34
machine-learning-2025;13;Machine Learning 13: Prática no Python (Classificação);QhjyjH8CRKw
machine-learning-2025;14;Machine Learning 14: Métricas de ajuste - Introdução;ImWgtWmP61s
machine-learning-2025;15;Machine Learning 15: Métricas de ajuste (Matriz de Confusão);oB6vEx11vZU
machine-learning-2025;16;Machine Learning 16: Prevendo a Felicidade;KjI3xyZEj-w
machine-learning-2025;17;Machine Learning 17: Projeto Churn - Sample;QMThkUWSEVM
machine-learning-2025;18;Machine Learning 18: Projeto Churn - Explore;GdFvcj_m4VE
machine-learning-2025;19;Machine Learning 19: Projeto Churn - Modify;u23Ld3ji_nk
machine-learning-2025;20;Machine Learning 20: Projeto Churn - Modify (Python);QbKjOfY_bpQ
machine-learning-2025;21;Machine Learning 21: Projeto Churn - Pipeline;kPQAla_r8d0
machine-learning-2025;22;Machine Learning 22: Projeto Churn - Assess;jK5ljNa_Qrs
machine-learning-2025;23;Machine Learning 23: Projeto Churn - Tuning;lYXyYmSOZLM
machine-learning-2025;24;Machine Learning 24: Projeto Churn - Novas predições;iWFBeR552Hc
machine-learning-2025;25;Machine Learning 25: Métricas Adicionais;LhXiEDrt418
matchmaking-trampar-de-casa-2024;1;Matchmaking de Vagas - Parte I;STI-WMd7APY
matchmaking-trampar-de-casa-2024;2;Matchmaking de Vagas - Parte II;uiAIVGg3k8U
matchmaking-trampar-de-casa-2024;3;API para Matchmaking de Vagas;tjlUJG1sVks
ml-2024;1;Machine Learning - Como ensinar a máquina;oj0ACpEHpS0
ml-2024;2;Machine Learning - Classificação e Regressão;N5ZNjET5GQc
ml-2024;3;Machine Learning - Classificação;13Ba9mEndgU
ml-2024;4;Machine Learning - Métricas de Performance;q7O-H96rp1o
ml-2024;5;Machine Learning - Projeto Sistema de Pontos;glXCHPy2-cE
ml-2024;6;Machine Learning - Métrica de KS;V1QWx3KZ9AA
ml-2024;7;Machine Learning - Recomendação de Produtos;IseLPDxkh88
mlflow-2025;1;O que é MLFlow e como Instalar;W8bxk42C9UE
mlflow-2025;2;Tracking de Modelos com MLFlow;V-Zc_T6iuJc
mlflow-2025;3;Registrando e consumindo modelos no MLFlow;K2MYiW5m5Ug
mlflow-2025;4;Atualização automática de modelos com MLFlow;KdnRZSH6Drk
pandas-2024;1;Desbravando Pandas - Dia 01;fLvMKsgHP0o
pandas-2024;2;Desbravando Pandas - Dia 02;CgkM0FQ-wuk
pandas-2024;3;Desbravando Pandas - Dia 03;8pEkvlQtwBk
pandas-2024;4;Desbravando Pandas - Dia 04;ebuEZrE9OEo
pandas-2024;5;Desbravando Pandas - Dia 05;LbO5xQouOEw
pandas-2024;6;Desbravando Pandas - Stack e Unstack;x1MWHD9dfqU
pandas-2024;7;Desbravando Pandas - Explode;VDL-1yIvNkE
pandas-2025;1;Ensinando Pandas - Ep 01;9Cw7iIjFlBc
pandas-2025;2;Ensinando Pandas - Ep 02;mAR5V-22oA4
pandas-2025;3;Ensinando Pandas - Ep 03;7E5Cr9lMdpU
pandas-2025;4;Ensinando Pandas - Ep 04;bMEXh1K17eg
pandas-2025;5;Ensinando Pandas - Ep 05;GNX0Bvo40M0
pandas-2025;6;Ensinando Pandas - Ep 06;Tg3NVMbcgHs
pandas-2025;7;Ensinando Pandas - Ep 07;NluSWHRZPFY
pandas-2025;8;Ensinando Pandas - Ep 08;fWy5cNTWTeM
pandas-2025;9;Ensinando Pandas - Ep 09;nN3MmJGDNxM
pandas-2025;10;Ensinando Pandas - Ep 10;USpeepeztTI
pandas-2025;11;Ensinando Pandas - Ep 11;OyO7lzlG3r8
pandas-2025;12;Ensinando Pandas - Ep 12;VKclVgd7kZw
pandas-2025;13;Ensinando Pandas - Ep 13;w5PLsNnUCTA
pandas-2025;14;Ensinando Pandas - Ep 14;wOWCd-b8AuE
pandas-2025;15;Ensinando Pandas - Ep 15;u_K93Ry04U4
pandas-2025;16;Ensinando Pandas - Ep 16;YxfYe2NeFAI
pandas-2025;17;Ensinando Pandas - Ep 17;e3j9PTAjqAk
python-2024;1;Introdução à Programação com Python - Dia 01;asUCVFBUyfY
python-2024;2;Introdução à Programação com Python - Dia 02;hOuiT8Oby6c
python-2024;3;Introdução à Programação com Python - Dia 03;gA4inE1n1SI
python-2024;4;Introdução à Programação com Python - Dia 04;BUmXQUA12KU
python-2024;5;Introdução à Programação com Python - Dia 05;SXTXuCPPuxo
python-2025;1;Conceitos de Programação e Instalação;OeKzVjiiRm4
python-2025;2;Primeiros Comandos;wp23DUYKQt4
python-2025;3;Recebendo Dados;_40Lzu_C_Ko
python-2025;4;IF, ELIF, ELSE;FV9Pzj3BIuU
python-2025;5;Laços de Repetição;HcCH_xXwOcA
python-2025;6;Listas;deWlTenrlv4
python-2025;7;Dicionários e Tuplas;EueiZ_TXe_c
python-2025;8;Criando Funções;JZlJ1otXBD8
python-2025;9;Módulos;7U_NG78HuA4
python-2025;10;Lidando com Arquivos;3h15kc10fCY
python-2025;11;Desafio Loteria da Babilônia;lIczWRig7S8
python-2025;12;Consumindo dados de API;iBsyZ0RQCqc
python-2025;13;Ambientes Virtuais: como faze gestão;Xa9SSu8qLHs
python-2025;14;Mais sobre listas!!;QE5_WPaflU0
sql-2020;1;SELECT FROM WHERE;PXftBr56Tow
sql-2020;2;GROUP BY;BPwGCEsPxMI
sql-2020;3;CASE WHEN COALESCE;7Ikyb5-5gOQ
sql-2020;4;Como fazer JOINS;jJxC0i6OtQQ
sql-2020;5;Como funciona SUBQUERIES;1ulTb3u8aPk
sql-2020;6;O que são WINDOW FUNCTIONS;v3U5ViG-rkc
sql-2020;7;Como fazer CREATE TABLE;K2V0ZJA3yK0
sql-2025;0;Aprenda SQL - Dia 00: Introdução;VmkJG8awKqM
sql-2025;1;Aprenda SQL - Dia 01: Primeiros Conceitos;AYIEGnTtMsY
sql-2025;2;Aprenda SQL - Dia 02: O tal SQL;dXdo-KtGzRk
sql-2025;3;Aprenda SQL - Dia 03: SETUP;nuOIjVCz2zs
sql-2025;4;Aprenda SQL - Dia 04: OLÁ MUNDO!;uHMCwfyWwuE
sql-2025;5;Aprenda SQL - Dia 05: Dúvidas;zkTIJBBIiwY
sql-2025;6;Aprenda SQL - Dia 06: Revisão SELECT;00kRo-4BvOA
sql-2025;7;Aprenda SQL - Dia 07: FROM;ZvAXR06HC9Y
sql-2025;8;Aprenda SQL - Dia 08: WHERE;Cbl93-R89rw
sql-2025;9;Aprenda SQL - Dia 09: Novas COLUNAS;-1Jyhq_1cXA
sql-2025;10;Aprenda SQL - Dia 10: EXERCÍCIOS;PpYNbpLlCVI
sql-2025;11;Aprenda SQL - Dia 11: ORDER BY;AFdXBhhLsuk
