idCursoEpisodioCompleto;idUsuario;descSlugCurso;descSlugCursoEpisodio;dtCriacao
2;753b5886-946e-4956-bbb4-43b2a121a35f;github-2025;ep-03;2025-02-04 20:29:27
10;753b5886-946e-4956-bbb4-43b2a121a35f;github-2025;ep-04;2025-02-04 21:12:25
13;76c7a43f-e5b2-4803-8989-9f99d4c1e783;github-2025;ep-01;2025-02-04 22:09:59
14;76c7a43f-e5b2-4803-8989-9f99d4c1e783;github-2025;ep-02;2025-02-04 22:10:02
15;5cbd1240-1561-4c1f-a10b-19d73c4bdc41;github-2025;ep-01;2025-02-05 12:25:07
16;5cbd1240-1561-4c1f-a10b-19d73c4bdc41;github-2025;ep-02;2025-02-05 12:25:10
17;5cbd1240-1561-4c1f-a10b-19d73c4bdc41;github-2025;ep-03;2025-02-05 12:25:12
18;5cbd1240-1561-4c1f-a10b-19d73c4bdc41;github-2025;ep-04;2025-02-05 12:25:14
19;5cbd1240-1561-4c1f-a10b-19d73c4bdc41;github-2025;ep-05;2025-02-05 12:25:16
20;5cbd1240-1561-4c1f-a10b-19d73c4bdc41;github-2025;ep-06;2025-02-05 12:25:18
21;5cbd1240-1561-4c1f-a10b-19d73c4bdc41;github-2025;ep-07;2025-02-05 12:25:20
22;5cbd1240-1561-4c1f-a10b-19d73c4bdc41;github-2025;ep-08;2025-02-05 12:25:22
23;5cbd1240-1561-4c1f-a10b-19d73c4bdc41;github-2025;ep-09;2025-02-05 12:25:24
24;2a029e49-6f83-442c-807b-15489d8f78f8;github-2025;ep-01;2025-02-05 17:34:59
25;c9d79904-4aac-4433-ac73-5228638f90e8;github-2025;ep-01;2025-02-05 22:20:25
26;c9d79904-4aac-4433-ac73-5228638f90e8;github-2025;ep-02;2025-02-05 22:20:27
27;f97f3b3f-0426-44f9-9119-459ac803c4e6;github-2025;ep-01;2025-02-06 17:01:20
29;c9344b03-22e4-4077-b6e8-6dc9a0d70ccf;github-2025;ep-01;2025-02-08 00:04:16
30;c9344b03-22e4-4077-b6e8-6dc9a0d70ccf;github-2025;ep-02;2025-02-08 00:04:22
31;c9344b03-22e4-4077-b6e8-6dc9a0d70ccf;github-2025;ep-03;2025-02-08 00:37:41
32;c9344b03-22e4-4077-b6e8-6dc9a0d70ccf;github-2025;ep-04;2025-02-09 01:12:57
33;e7ba6822-c96f-42cb-9539-7e4ba1c2c3f3;github-2025;ep-01;2025-02-09 02:11:59
34;a74b1ab4-7f0d-4e51-93ed-775f1f76b01c;github-2025;ep-01;2025-02-10 16:49:48
35;f4e21201-2b86-4898-862f-ed3bb9b5e79f;github-2025;ep-01;2025-02-10 20:46:20
36;f4e21201-2b86-4898-862f-ed3bb9b5e79f;github-2025;ep-02;2025-02-10 20:46:21
37;f4e21201-2b86-4898-862f-ed3bb9b5e79f;github-2025;ep-03;2025-02-10 20:46:23
38;f4e21201-2b86-4898-862f-ed3bb9b5e79f;github-2025;ep-04;2025-02-10 20:46:24
39;04546024-3553-4829-97f0-c2d3afdf6431;python-2025;ep-01;2025-02-15 18:46:01
40;04546024-3553-4829-97f0-c2d3afdf6431;python-2025;ep-02;2025-02-15 18:46:04
41;04546024-3553-4829-97f0-c2d3afdf6431;python-2025;ep-03;2025-02-15 18:46:07
42;04546024-3553-4829-97f0-c2d3afdf6431;python-2025;ep-04;2025-02-15 18:46:10
43;04546024-3553-4829-97f0-c2d3afdf6431;python-2025;ep-05;2025-02-15 18:46:12
44;04546024-3553-4829-97f0-c2d3afdf6431;python-2025;ep-06;2025-02-15 18:46:42
45;04546024-3553-4829-97f0-c2d3afdf6431;python-2025;ep-07;2025-02-15 18:46:44
46;3d25c978-64df-4374-ad1c-ac55a417ea19;github-2025;ep-01;2025-02-15 18:51:26
47;3d25c978-64df-4374-ad1c-ac55a417ea19;github-2025;ep-02;2025-02-15 18:51:28
48;3d25c978-64df-4374-ad1c-ac55a417ea19;github-2025;ep-03;2025-02-15 18:51:30
49;3d25c978-64df-4374-ad1c-ac55a417ea19;github-2025;ep-04;2025-02-15 18:51:32
50;3d25c978-64df-4374-ad1c-ac55a417ea19;github-2025;ep-05;2025-02-15 18:51:34
51;3d25c978-64df-4374-ad1c-ac55a417ea19;github-2025;ep-06;2025-02-15 18:51:37
52;3d25c978-64df-4374-ad1c-ac55a417ea19;github-2025;ep-07;2025-02-15 18:51:41
53;3d25c978-64df-4374-ad1c-ac55a417ea19;github-2025;ep-08;2025-02-15 18:51:42
54;3d25c978-64df-4374-ad1c-ac55a417ea19;github-2025;ep-09;2025-02-15 18:51:44
55;3d25c978-64df-4374-ad1c-ac55a417ea19;python-2025;ep-01;2025-02-15 18:52:09
56;3d25c978-64df-4374-ad1c-ac55a417ea19;python-2025;ep-02;2025-02-15 18:52:11
57;3d25c978-64df-4374-ad1c-ac55a417ea19;python-2025;ep-03;2025-02-15 18:52:13
58;3d25c978-64df-4374-ad1c-ac55a417ea19;python-2025;ep-04;2025-02-15 18:52:16
59;3d25c978-64df-4374-ad1c-ac55a417ea19;python-2025;ep-05;2025-02-15 18:52:18
60;3d25c978-64df-4374-ad1c-ac55a417ea19;python-2025;ep-06;2025-02-15 18:52:20
61;3d25c978-64df-4374-ad1c-ac55a417ea19;python-2025;ep-07;2025-02-15 18:52:26
62;c535153b-d84c-4767-afbb-68a4116fbcff;github-2025;ep-01;2025-02-16 04:30:57
63;c535153b-d84c-4767-afbb-68a4116fbcff;github-2025;ep-02;2025-02-16 04:30:59
64;c535153b-d84c-4767-afbb-68a4116fbcff;python-2025;ep-01;2025-02-16 04:31:10
65;c535153b-d84c-4767-afbb-68a4116fbcff;python-2025;ep-02;2025-02-16 04:31:13
66;c535153b-d84c-4767-afbb-68a4116fbcff;python-2025;ep-03;2025-02-16 04:31:16
67;75d906c3-ab6a-4319-be67-dd39e04e930c;github-2024;ep-01;2025-02-16 15:08:52
68;75d906c3-ab6a-4319-be67-dd39e04e930c;github-2024;ep-02;2025-02-16 15:08:54
69;75d906c3-ab6a-4319-be67-dd39e04e930c;github-2024;ep-03;2025-02-16 15:08:55
70;75d906c3-ab6a-4319-be67-dd39e04e930c;pandas-2024;ep-01;2025-02-16 15:09:06
71;75d906c3-ab6a-4319-be67-dd39e04e930c;pandas-2024;ep-02;2025-02-16 15:09:08
