idHabilidadeCargo;descNomeCargo;descNivelCargo;descNomeHabilidade;descNivelHabilidade
1;Data Analyst;Jr. Data Analyst;Apresentação / Storytelling;02. Iniciante
2;Data Analyst;Pl. Data Analyst;Apresentação / Storytelling;03. Profissional
3;Data Analyst;Sr. Data Analyst;Apresentação / Storytelling;04. Expert
4;Data Analyst;Staff Data Analyst;Apresentação / Storytelling;04. Expert
5;Data Analyst;Principal Data Analyst;Apresentação / Storytelling;04. Expert
6;Data Analyst;Jr. Data Analyst;Comunicação;02. Iniciante
7;Data Analyst;Pl. Data Analyst;Comunicação;03. Profissional
8;Data Analyst;Sr. Data Analyst;Comunicação;04. Expert
9;Data Analyst;Staff Data Analyst;Comunicação;05. Professor
10;Data Analyst;Principal Data Analyst;Comunicação;05. Professor
11;Data Analyst;Jr. Data Analyst;Data Visualization;02. Iniciante
12;Data Analyst;Pl. Data Analyst;Data Visualization;03. Profissional
13;Data Analyst;Sr. Data Analyst;Data Visualization;04. Expert
14;Data Analyst;Staff Data Analyst;Data Visualization;04. Expert
15;Data Analyst;Principal Data Analyst;Data Visualization;05. Professor
16;Data Analyst;Jr. Data Analyst;Estatística descritiva;02. Iniciante
17;Data Analyst;Pl. Data Analyst;Estatística descritiva;03. Profissional
18;Data Analyst;Sr. Data Analyst;Estatística descritiva;04. Expert
19;Data Analyst;Staff Data Analyst;Estatística descritiva;04. Expert
20;Data Analyst;Principal Data Analyst;Estatística descritiva;05. Professor
21;Data Analyst;Jr. Data Analyst;ETL;01. Aprendiz
22;Data Analyst;Pl. Data Analyst;ETL;02. Iniciante
23;Data Analyst;Sr. Data Analyst;ETL;03. Profissional
24;Data Analyst;Staff Data Analyst;ETL;04. Expert
25;Data Analyst;Principal Data Analyst;ETL;05. Professor
26;Data Analyst;Jr. Data Analyst;Gestão / Liderança;00. Não esperada
27;Data Analyst;Pl. Data Analyst;Gestão / Liderança;00. Não esperada
28;Data Analyst;Sr. Data Analyst;Gestão / Liderança;01. Aprendiz
29;Data Analyst;Staff Data Analyst;Gestão / Liderança;04. Expert
30;Data Analyst;Principal Data Analyst;Gestão / Liderança;01. Aprendiz
31;Data Analyst;Jr. Data Analyst;Git / GitHub / GitLab / BitBucket;01. Aprendiz
32;Data Analyst;Pl. Data Analyst;Git / GitHub / GitLab / BitBucket;02. Iniciante
33;Data Analyst;Sr. Data Analyst;Git / GitHub / GitLab / BitBucket;03. Profissional
34;Data Analyst;Staff Data Analyst;Git / GitHub / GitLab / BitBucket;03. Profissional
35;Data Analyst;Principal Data Analyst;Git / GitHub / GitLab / BitBucket;04. Expert
36;Data Analyst;Jr. Data Analyst;Inteligência Emocional;00. Não esperada
37;Data Analyst;Pl. Data Analyst;Inteligência Emocional;03. Profissional
38;Data Analyst;Sr. Data Analyst;Inteligência Emocional;04. Expert
39;Data Analyst;Staff Data Analyst;Inteligência Emocional;05. Professor
40;Data Analyst;Principal Data Analyst;Inteligência Emocional;05. Professor
41;Data Analyst;Jr. Data Analyst;Machine Learning - Agrupamento;00. Não esperada
42;Data Analyst;Pl. Data Analyst;Machine Learning - Agrupamento;02. Iniciante
