idHabilidadeusuario;idUsuario;descNomeHabilidade;descNivelHabilidade;dtCriacao
1;753b5886-946e-4956-bbb4-43b2a121a35f;Apresentação / Storytelling;02. Iniciante;2025-02-27 15:01:13
2;753b5886-946e-4956-bbb4-43b2a121a35f;Comunicação;05. Professor;2025-02-27 15:01:13
3;753b5886-946e-4956-bbb4-43b2a121a35f;Data Visualization;05. Professor;2025-02-27 15:01:13
4;753b5886-946e-4956-bbb4-43b2a121a35f;Estatística descritiva;02. Iniciante;2025-02-27 15:01:13
5;753b5886-946e-4956-bbb4-43b2a121a35f;ETL;01. Aprendiz;2025-02-27 15:01:13
6;753b5886-946e-4956-bbb4-43b2a121a35f;Gestão / Liderança;02. Iniciante;2025-02-27 15:01:13
7;753b5886-946e-4956-bbb4-43b2a121a35f;Git / GitHub / GitLab / BitBucket;01. Aprendiz;2025-02-27 15:01:13
8;753b5886-946e-4956-bbb4-43b2a121a35f;Inteligência Emocional;05. Professor;2025-02-27 15:01:13
9;753b5886-946e-4956-bbb4-43b2a121a35f;Machine Learning - Agrupamento;05. Professor;2025-02-27 15:01:13
10;753b5886-946e-4956-bbb4-43b2a121a35f;Machine Learning - Associação;05. Professor;2025-02-27 15:01:13
11;753b5886-946e-4956-bbb4-43b2a121a35f;Machine Learning - Classificação;04. Expert;2025-02-27 15:01:13
12;753b5886-946e-4956-bbb4-43b2a121a35f;Machine Learning - Regressão;04. Expert;2025-02-27 15:01:13
13;753b5886-946e-4956-bbb4-43b2a121a35f;Negociação;03. Profissional;2025-02-27 15:01:13
14;753b5886-946e-4956-bbb4-43b2a121a35f;Python / R / Julia;05. Professor;2025-02-27 15:01:13
15;753b5886-946e-4956-bbb4-43b2a121a35f;Simplificação;05. Professor;2025-02-27 15:01:13
16;753b5886-946e-4956-bbb4-43b2a121a35f;SQL;05. Professor;2025-02-27 15:01:13
17;753b5886-946e-4956-bbb4-43b2a121a35f;Teste de hipótese e Teste A/B;04. Expert;2025-02-27 15:01:13
18;75d906c3-ab6a-4319-be67-dd39e04e930c;Apresentação / Storytelling;02. Iniciante;2025-02-27 15:16:02
19;75d906c3-ab6a-4319-be67-dd39e04e930c;Cloud;01. Aprendiz;2025-02-27 15:16:02
20;75d906c3-ab6a-4319-be67-dd39e04e930c;Comunicação;02. Iniciante;2025-02-27 15:16:02
21;75d906c3-ab6a-4319-be67-dd39e04e930c;Data Visualization;01. Aprendiz;2025-02-27 15:16:02
22;75d906c3-ab6a-4319-be67-dd39e04e930c;Docker;01. Aprendiz;2025-02-27 15:16:02
23;75d906c3-ab6a-4319-be67-dd39e04e930c;Estatística descritiva;02. Iniciante;2025-02-27 15:16:02
24;75d906c3-ab6a-4319-be67-dd39e04e930c;ETL;02. Iniciante;2025-02-27 15:16:02
